"Site","Channel","Date (UTC)","Value"
"SS16/1","T648 C1:TEMP","1482445771586","35.0"
"SS16/1","T648 C1:TEMP","1482445801286","33.0"
"SS16/1","T648 C1:TEMP","1482448100796","35.0"
"SS16/1","T648 C1:TEMP","1482448142186","33.0"
"SS16/1","T648 C1:TEMP","1482448338386","35.0"
"SS16/1","T648 C1:TEMP","1482449690186","33.0"
"SS16/1","T648 C1:TEMP","1482449742396","35.0"
"SS16/1","T648 C1:TEMP","1482450057396","33.0"
"SS16/1","T648 C1:TEMP","1482450083496","35.0"
"SS16/1","T648 C1:TEMP","1482450307596","33.0"
"SS16/1","T648 C1:TEMP","1482450619896","35.0"
"SS16/1","T648 C1:TEMP","1482450624386","33.0"
"SS16/1","T648 C1:TEMP","1482467595686","35.0"
"SS16/1","T648 C1:TEMP","1482467879186","33.0"
"SS16/1","T648 C1:TEMP","1482467882796","35.0"
"SS16/1","T648 C1:TEMP","1482502042296","37.0"
"SS16/1","T648 C1:TEMP","1482502051296","35.0"
"SS16/1","T648 C1:TEMP","1482506004086","37.0"
"SS16/1","T648 C1:TEMP","1482507362186","35.0"
"SS16/1","T648 C1:TEMP","1482507893196","33.0"
"SS16/1","T648 C1:TEMP","1482508762586","31.0"
"SS16/1","T648 C1:TEMP","1482511232186","33.0"
"SS16/1","T648 C1:TEMP","1482512178086","35.0"
"SS16/1","T648 C1:TEMP","1482514020386","33.0"
"SS16/1","T648 C1:TEMP","1482514493786","31.0"
"SS16/1","T648 C1:TEMP","1482514988776","29.0"
"SS16/1","T648 C1:TEMP","1482516757286","31.0"
"SS16/1","T648 C1:TEMP","1482518989296","33.0"
"SS16/1","T648 C1:TEMP","1482523197686","31.0"
"SS16/1","T648 C1:TEMP","1482524496396","29.0"
"SS16/1","T648 C1:TEMP","1482529315886","31.0"
"SS16/1","T648 C1:TEMP","1482531327376","33.0"
"SS16/1","T648 C1:TEMP","1482535524086","35.0"
"SS16/1","T648 C1:TEMP","1482554785886","33.0"
"SS16/1","T648 C1:TEMP","1482561339696","31.0"
"SS16/1","T648 C1:TEMP","1482564814586","33.0"
"SS16/1","T648 C1:TEMP","1482571405296","31.0"
"SS16/1","T648 C1:TEMP","1482579300086","29.0"
"SS16/1","T648 C1:TEMP","1482580310796","31.0"
"SS16/1","T648 C1:TEMP","1482583483296","33.0"
"SS16/1","T648 C1:TEMP","1482587328096","31.0"
"SS16/1","T648 C1:TEMP","1482587495486","33.0"
"SS16/1","T648 C1:TEMP","1482587620596","31.0"
"SS16/1","T648 C1:TEMP","1482592162896","29.0"
"SS16/1","T648 C1:TEMP","1482593660486","31.0"
"SS16/1","T648 C1:TEMP","1482597668186","33.0"
"SS16/1","T648 C1:TEMP","1482599940686","35.0"
"SS16/1","T648 C1:TEMP","1482604025786","33.0"
"SS16/1","T648 C1:TEMP","1482608644596","35.0"
"SS16/1","T648 C1:TEMP","1482611882786","37.0"
"SS16/1","T648 C1:TEMP","1482621957396","39.0"
"SS16/1","T648 C1:TEMP","1482624071486","37.0"
"SS16/1","T648 C1:TEMP","1482624143496","39.0"
"SS16/1","T648 C1:TEMP","1482624165086","37.0"
"SS16/1","T648 C1:TEMP","1482629823396","35.0"
"SS16/1","T648 C1:TEMP","1482631162586","33.0"
"SS16/1","T648 C1:TEMP","1482632603486","35.0"
"SS16/1","T648 C1:TEMP","1482632613396","33.0"
"SS16/1","T648 C1:TEMP","1482632788886","35.0"
"SS16/1","T648 C1:TEMP","1482632896896","33.0"
"SS16/1","T648 C1:TEMP","1482633154286","35.0"
"SS16/1","T648 C1:TEMP","1482634767086","37.0"
"SS16/1","T648 C1:TEMP","1482636124286","35.0"
"SS16/1","T648 C1:TEMP","1482638629896","37.0"
"SS16/1","T648 C1:TEMP","1482640213886","39.0"
"SS16/1","T648 C1:TEMP","1482640238186","37.0"
"SS16/1","T648 C1:TEMP","1482640311996","39.0"
"SS16/1","T648 C1:TEMP","1482640343496","37.0"
"SS16/1","T648 C1:TEMP","1482640355196","39.0"
"SS16/1","T648 C1:TEMP","1482640422696","37.0"
"SS16/1","T648 C1:TEMP","1482640431696","39.0"
"SS16/1","T648 C1:TEMP","1482646617396","41.0"
"SS16/1","T648 C1:TEMP","1482658996896","39.0"
"SS16/1","T648 C1:TEMP","1482668604396","41.0"
"SS16/1","T648 C1:TEMP","1482692030486","39.0"
